iter	Passed	Remaining
0	13	13968
1	26	13217
2	37	12441
3	50	12589
4	64	12795
5	78	12940
6	90	12885
7	101	12631
8	114	12642
9	127	12600
10	139	12556
11	151	12447
12	164	12461
13	176	12448
14	188	12371
15	200	12306
16	212	12304
17	226	12345
18	239	12379
19	250	12298
20	263	12300
21	276	12310
22	289	12312
23	301	12267
24	313	12230
25	330	12385
26	346	12470
27	363	12615
28	381	12780
29	395	12803
30	409	12802
31	422	12794
32	437	12821
33	449	12774
34	462	12751
35	475	12731
36	489	12749
37	503	12748
38	515	12698
39	528	12693
40	541	12676
41	555	12672
42	568	12659
43	581	12633
44	593	12594
45	607	12590
46	620	12580
47	633	12558
48	644	12518
49	657	12501
50	671	12490
51	684	12482
52	697	12458
53	709	12425
54	722	12412
55	736	12411
56	750	12411
57	763	12400
58	774	12360
59	792	12414
60	805	12401
61	819	12390
62	831	12373
63	844	12356
64	856	12326
65	870	12324
66	884	12313
67	898	12316
68	912	12311
69	924	12288
70	938	12280
71	951	12263
72	966	12270
73	979	12262
74	991	12233
75	1004	12214
76	1018	12204
77	1031	12196
78	1046	12198
79	1061	12205
80	1073	12178
81	1085	12154
82	1099	12151
83	1114	12149
84	1127	12132
85	1138	12098
86	1150	12073
87	1163	12062
88	1177	12051
89	1190	12039
90	1206	12054
91	1218	12030
92	1232	12022
93	1245	12009
94	1261	12016
95	1274	12000
96	1285	11968
97	1299	11956
98	1313	11952
99	1326	11941
100	1342	11950
101	1355	11936
102	1367	11908
103	1380	11896
104	1394	11884
105	1408	11882
106	1422	11871
107	1433	11840
108	1446	11820
109	1460	11813
110	1473	11804
111	1487	11794
112	1499	11766
113	1513	11761
114	1526	11748
115	1539	11733
116	1552	11714
117	1563	11689
118	1577	11675
119	1593	11687
120	1607	11678
121	1620	11660
122	1632	11643
123	1644	11617
124	1658	11606
125	1670	11590
126	1684	11580
127	1697	11562
128	1709	11540
129	1723	11532
130	1743	11568
131	1757	11553
132	1770	11544
133	1784	11530
134	1796	11514
135	1808	11491
136	1822	11481
137	1835	11468
138	1849	11454
139	1860	11430
140	1873	11412
141	1886	11400
